date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:11:37	36243/36243	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/images/dt.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/images/dt.jpg	(from http://www.dequinox.in/double.html)
00:11:40	311397/311397	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/images/nuka.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/images/nuka.jpg	(from http://www.dequinox.in/nukkad.html)
00:11:52	63491/63491	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/images/sync.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/images/sync.jpg	(from http://www.dequinox.in/sync.html)
00:11:54	370746/370746	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/images/stg.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/images/stg.jpg	(from http://www.dequinox.in/stage.html)
00:11:58	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225813c5d7-247c%22	http://www.dequinox.in/images/survivor.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/images/survivor.4f.delayed	(from http://www.dequinox.in/survivor.html)
00:12:02	124524/124524	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/images/dn.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/images/dn.jpg	(from http://www.dequinox.in/dropping.html)
00:12:21	71708/71708	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/images/panache.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/images/panache.jpg	(from http://www.dequinox.in/panache.html)
00:12:27	68510/68510	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/images/walk.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/images/walk.jpg	(from http://www.dequinox.in/walk.html)
00:12:28	121260/121260	---M-Z	200	added ('OK')	text/css	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/events/css/bootstrap.min.css	C:/My%20Web%20Sites/dequinox/www.dequinox.in/events/css/bootstrap.min.css	(from http://www.dequinox.in/events/index.html)
00:12:32	247386/247386	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2014:31:59%20GMT	http://www.dequinox.in/images/raga.jpg	C:/My%20Web%20Sites/dequinox/www.dequinox.in/images/raga.jpg	(from http://www.dequinox.in/raga.html)
